positif,dirawat,total_kasus,active_cases,risk_score,kecamatan_positif_mean,kecamatan_positif_min,kecamatan_positif_max,positif_vs_kecamatan_mean,positif_percentile,positif
10,2,10,2,-0.11656476116238457,15.285714285714286,4,30,0.6542056074766355,57.249070631970255,10
1,1,1,1,-0.7679218093324711,9.666666666666666,1,18,0.10344827586206898,4.83271375464684,1
1,0,1,0,-0.7778883847878548,8.4,1,18,0.11904761904761904,4.83271375464684,1
5,3,5,3,-0.5847190439951154,6.8,3,19,0.7352941176470589,24.721189591078065,5
6,5,6,5,-0.523968489477701,17.714285714285715,6,30,0.3387096774193548,31.970260223048324,6
3,3,3,3,-0.6663538512084096,7.6,0,14,0.39473684210526316,14.684014869888475,3
5,4,5,4,-0.5747524685397318,11.0,5,17,0.45454545454545453,24.721189591078065,5
5,3,5,3,-0.5847190439951154,9.375,5,20,0.5333333333333333,24.721189591078065,5
4,4,4,4,-0.6155698721463788,12.166666666666666,4,27,0.32876712328767127,19.702602230483272,4
8,3,8,3,-0.11972453285657525,16.8,2,30,0.47619047619047616,46.28252788104089,8
9,7,9,7,-0.07710108301934886,11.0,5,17,0.8181818181818182,52.41635687732342,9
12,4,12,4,0.16769242379826307,13.166666666666666,2,27,0.9113924050632912,64.12639405204462,12
8,3,8,3,0.22281776746202378,6.625,1,30,1.2075471698113207,46.28252788104089,8
2,2,2,2,-0.7171378302704404,2.8181818181818183,0,6,0.7096774193548386,9.107806691449815,2
3,1,3,1,0.22715913206375357,15.2,3,25,0.19736842105263158,14.684014869888475,3
8,6,8,6,-0.08982480649042417,11.0,5,17,0.7272727272727273,46.28252788104089,8
8,6,8,6,-0.4323671068090231,10.6,5,18,0.7547169811320755,46.28252788104089,8
10,6,10,6,-0.350732299595729,8.4,1,18,1.1904761904761905,57.249070631970255,10
17,5,17,5,0.24741570343645122,9.666666666666666,3,17,1.7586206896551726,80.85501858736059,17
9,4,9,4,0.19748123534214357,6.125,3,12,1.469387755102041,52.41635687732342,9
5,4,5,4,-0.5747524685397318,9.8,2,23,0.5102040816326531,24.721189591078065,5
5,1,5,1,-0.6046521949058828,7.166666666666667,5,12,0.6976744186046512,24.721189591078065,5
30,23,30,23,0.9090813955336147,17.285714285714285,5,30,1.7355371900826446,96.6542750929368,30
6,4,6,4,-0.5339350649330847,6.285714285714286,5,9,0.9545454545454546,31.970260223048324,6
9,4,9,4,-0.10700080938549994,17.285714285714285,5,30,0.5206611570247934,52.41635687732342,9
4,3,4,3,-0.6255364476017625,2.8181818181818183,0,6,1.4193548387096773,19.702602230483272,4
6,2,6,2,-0.09714514875238683,12.5,6,19,0.48,31.970260223048324,6
3,2,3,2,-0.6763204266637933,6.625,1,30,0.4528301886792453,14.684014869888475,3
21,16,21,16,0.3284171995145016,15.285714285714286,4,30,1.3738317757009346,87.73234200743495,21
6,3,6,3,-0.08717857329700314,9.125,5,18,0.6575342465753424,31.970260223048324,6
2,2,2,2,-0.7171378302704404,5.666666666666667,1,11,0.3529411764705882,9.107806691449815,2
8,6,8,6,-0.4323671068090231,11.428571428571429,1,28,0.7,46.28252788104089,8
5,1,5,1,-0.056584514396124476,10.6,5,18,0.4716981132075472,24.721189591078065,5
6,4,6,4,-0.07721199784161945,7.166666666666667,5,12,0.8372093023255813,31.970260223048324,6
7,4,7,4,-0.10164074667661027,9.375,5,20,0.7466666666666667,39.405204460966544,7
0,0,0,0,-0.818705788394502,7.6,0,14,0.0,1.486988847583643,0
3,2,3,2,-0.6763204266637933,9.666666666666666,3,17,0.3103448275862069,14.684014869888475,3
5,2,5,2,-0.04661793894074079,6.285714285714286,5,9,0.7954545454545455,24.721189591078065,5
1,0,1,0,-0.7778883847878548,11.428571428571429,1,28,0.0875,4.83271375464684,1
0,0,0,0,-0.818705788394502,2.8181818181818183,0,6,0.0,1.486988847583643,0
3,0,3,0,0.2171925566083699,9.666666666666666,3,17,0.3103448275862069,14.684014869888475,3
6,2,6,2,-0.553868215843852,9.125,5,18,0.6575342465753424,31.970260223048324,6
13,4,13,4,0.38417254551701224,11.428571428571429,1,28,1.1375,68.21561338289963,13
2,2,2,2,-0.7171378302704404,9.666666666666666,1,18,0.20689655172413796,9.107806691449815,2
3,2,3,2,0.23712570751913722,2.8181818181818183,0,6,1.064516129032258,14.684014869888475,3
0,0,0,0,-0.818705788394502,2.8181818181818183,0,6,0.0,1.486988847583643,0
2,2,2,2,-0.7171378302704404,2.8181818181818183,0,6,0.7096774193548386,9.107806691449815,2
1,0,1,0,-0.7778883847878548,13.428571428571429,1,30,0.07446808510638298,4.83271375464684,1
3,1,3,1,1.140605266246684,2.8181818181818183,0,6,1.064516129032258,14.684014869888475,3
5,1,5,1,-0.056584514396124476,6.625,1,30,0.7547169811320755,24.721189591078065,5
2,2,2,2,-0.7171378302704404,6.625,1,30,0.3018867924528302,9.107806691449815,2
10,7,10,7,-0.06673188388546611,13.571428571428571,1,28,0.7368421052631579,57.249070631970255,10
0,0,0,0,-0.818705788394502,0.3333333333333333,0,1,0.0,1.486988847583643,0
1,0,1,0,-0.7778883847878548,0.3333333333333333,0,1,3.0,4.83271375464684,1
0,0,0,0,-0.818705788394502,0.3333333333333333,0,1,0.0,1.486988847583643,0
0,0,0,0,-0.818705788394502,3.0,0,9,0.0,1.486988847583643,0
9,0,9,0,-0.4513491559346782,3.0,0,9,3.0,52.41635687732342,9
1,0,1,0,-0.7778883847878548,6.625,1,30,0.1509433962264151,4.83271375464684,1
3,2,3,2,-0.6763204266637933,6.125,3,12,0.4897959183673469,14.684014869888475,3
1,0,1,0,-0.7778883847878548,2.8181818181818183,0,6,0.3548387096774193,4.83271375464684,1
0,0,0,0,-0.818705788394502,3.0,0,9,0.0,1.486988847583643,0
30,340,30,340,4.251175041726832,30.0,30,30,1.0,96.6542750929368,30
30,434,30,434,5.1880331345328985,30.0,30,30,1.0,96.6542750929368,30
30,13,30,13,0.8094156409797777,16.8,2,30,1.7857142857142856,96.6542750929368,30
17,0,17,0,-0.12480992708150157,5.8,1,17,2.931034482758621,80.85501858736059,17
30,13,30,13,0.9921048678163636,16.714285714285715,8,30,1.7948717948717947,96.6542750929368,30
30,9,30,9,0.8608939525765359,25.0,15,30,1.2,96.6542750929368,30
30,10,30,10,0.5968266877770404,14.0,6,30,2.142857142857143,96.6542750929368,30
29,17,29,17,0.912408409636171,17.714285714285715,6,30,1.6370967741935483,92.56505576208178,29
30,10,30,10,0.9622051414502125,16.8,2,30,1.7857142857142856,96.6542750929368,30
30,12,30,12,0.9821382923609799,15.166666666666666,8,30,1.978021978021978,96.6542750929368,30
30,21,30,21,1.0718374714594332,17.714285714285715,6,30,1.693548387096774,96.6542750929368,30
25,11,25,11,0.6402022400867506,15.2,3,25,1.6447368421052633,90.33457249070632,25
18,5,18,5,0.27032239852970746,12.5,8,18,1.44,83.08550185873605,18
21,8,21,8,0.3791769007547079,13.571428571428571,1,28,1.5473684210526315,87.73234200743495,21
30,17,30,17,0.8492819428013124,25.0,15,30,1.2,96.6542750929368,30
11,2,11,2,-0.10065952485163561,7.6,0,14,1.4473684210526316,61.152416356877325,11
23,13,23,13,0.487950271352177,9.8,2,23,2.346938775510204,88.84758364312268,23
30,40,30,40,1.2612024051117234,15.285714285714286,4,30,1.9626168224299065,96.6542750929368,30
24,13,24,13,0.5188389126307487,14.0,9,24,1.7142857142857142,89.77695167286245,24
18,8,18,8,0.30022212489585853,11.5,4,18,1.565217391304348,83.08550185873605,18
29,16,29,16,0.7134529788325951,16.714285714285715,8,30,1.7350427350427349,92.56505576208178,29
19,11,19,11,0.0664572101410132,13.428571428571429,1,30,1.4148936170212765,84.94423791821562,19
15,5,15,5,0.39145582349188107,13.571428571428571,1,28,1.105263157894737,75.65055762081785,15
20,5,20,5,0.7325597616525562,15.2,3,25,1.3157894736842106,86.43122676579925,20
23,11,23,11,0.8254525642521214,12.8,6,23,1.796875,88.84758364312268,23
12,2,12,2,0.14775927288749566,9.125,5,18,1.3150684931506849,64.12639405204462,12
11,3,11,3,-0.0906929493962519,16.714285714285715,8,30,0.6581196581196581,61.152416356877325,11
13,5,13,5,-0.23824666423117144,16.714285714285715,8,30,0.7777777777777777,68.21561338289963,13
19,4,19,4,0.4293761928820839,10.571428571428571,5,19,1.7972972972972974,84.94423791821562,19
7,2,7,2,-0.12157389758737765,5.8,1,17,1.206896551724138,39.405204460966544,7
20,7,20,7,0.3414421521810047,9.375,5,20,2.1333333333333333,86.43122676579925,20
28,14,28,14,0.6594520262919016,11.428571428571429,1,28,2.4499999999999997,91.635687732342,28
28,16,28,16,0.679385177202669,13.571428571428571,1,28,2.0631578947368423,91.635687732342,28
13,5,13,5,0.39413912097239595,14.0,6,30,0.9285714285714286,68.21561338289963,13
13,4,13,4,0.38417254551701224,13.571428571428571,1,28,0.9578947368421052,68.21561338289963,13
12,4,12,4,0.16769242379826307,6.125,3,12,1.9591836734693877,64.12639405204462,12
27,10,27,10,0.7890059231756642,12.166666666666666,4,27,2.219178082191781,90.89219330855019,27
30,13,30,13,0.9921048678163636,22.0,6,30,1.3636363636363635,96.6542750929368,30
13,6,13,6,-0.017484827041265288,10.571428571428571,5,19,1.2297297297297298,68.21561338289963,13
30,19,30,19,0.9605597071303729,13.428571428571429,1,30,2.234042553191489,96.6542750929368,30
18,9,18,9,0.6146707450788856,10.6,5,18,1.6981132075471699,83.08550185873605,18
19,6,19,6,0.3050810068165991,6.8,3,19,2.794117647058824,84.94423791821562,19
11,6,11,6,-0.06079322303010084,15.166666666666666,8,30,0.7252747252747253,61.152416356877325,11
13,7,13,7,-0.21831351332040402,16.714285714285715,8,30,0.7777777777777777,68.21561338289963,13
18,5,18,5,0.5748044432573509,9.125,5,18,1.9726027397260273,83.08550185873605,18
16,6,16,6,0.06544327220345297,12.5,8,18,1.28,78.62453531598513,16
16,5,16,5,0.22674784690736874,10.0,2,16,1.6,78.62453531598513,16
7,1,7,1,0.6514133562568934,13.428571428571429,1,30,0.5212765957446809,39.405204460966544,7
5,2,5,2,-0.5946856194504991,9.125,5,18,0.547945205479452,24.721189591078065,5
30,13,30,13,0.7180710275614847,17.285714285714285,5,30,1.7355371900826446,96.6542750929368,30
7,2,7,2,-0.513050812237205,9.666666666666666,3,17,0.7241379310344828,39.405204460966544,7
6,3,6,3,-0.5439016403884683,16.666666666666668,6,30,0.36,31.970260223048324,6
8,4,8,4,-0.10975795740119156,12.5,8,18,0.64,46.28252788104089,8
12,7,12,7,-0.2591309169270511,15.285714285714286,4,30,0.7850467289719626,64.12639405204462,12
9,7,9,7,-0.3815831277469923,7.166666666666667,5,12,1.255813953488372,52.41635687732342,9
15,6,15,6,-0.1466452815624936,12.5,6,19,1.2,75.65055762081785,15
8,7,8,7,-0.07985823103504049,6.125,3,12,1.3061224489795917,46.28252788104089,8
4,2,4,2,-0.6355030230571462,11.5,4,18,0.34782608695652173,19.702602230483272,4
7,2,7,2,-0.12157389758737765,10.0,2,16,0.7,39.405204460966544,7
10,5,10,5,0.18736880545864568,8.4,1,18,1.1904761904761905,57.249070631970255,10
2,1,2,1,-0.7271044057258241,16.8,2,30,0.11904761904761904,9.107806691449815,2
15,9,15,9,-0.11674555519634251,13.428571428571429,1,30,1.1170212765957446,75.65055762081785,15
8,2,8,2,-0.4722334086305579,9.125,5,18,0.8767123287671232,46.28252788104089,8
10,5,10,5,-0.0866650347962335,7.6,0,14,1.3157894736842106,57.249070631970255,10
5,3,5,3,-0.5847190439951154,4.875,1,9,1.0256410256410255,24.721189591078065,5
5,2,5,2,-0.5946856194504991,10.571428571428571,5,19,0.47297297297297297,24.721189591078065,5
2,1,2,1,-0.7271044057258241,5.8,1,17,0.3448275862068966,9.107806691449815,2
5,2,5,2,-0.04661793894074079,6.285714285714286,5,9,0.7954545454545455,24.721189591078065,5
7,5,7,5,-0.48315108587105393,14.0,6,30,0.5,39.405204460966544,7
6,3,6,3,-0.08717857329700314,5.8,1,17,1.0344827586206897,31.970260223048324,6
6,3,6,3,-0.5439016403884683,2.8181818181818183,0,6,2.129032258064516,31.970260223048324,6
6,2,6,2,0.35957791833907854,6.285714285714286,5,9,0.9545454545454546,31.970260223048324,6
6,5,6,5,-0.523968489477701,12.5,6,19,0.48,31.970260223048324,6
1,1,1,1,-0.7679218093324711,5.8,1,17,0.1724137931034483,4.83271375464684,1
4,2,4,2,-0.6355030230571462,5.8,1,17,0.6896551724137931,19.702602230483272,4
4,1,4,1,-0.6454695985125299,4.875,1,9,0.8205128205128205,19.702602230483272,4
5,5,5,5,-0.5647858930843481,7.166666666666667,5,12,0.6976744186046512,24.721189591078065,5
7,2,7,2,-0.513050812237205,9.666666666666666,1,18,0.7241379310344828,39.405204460966544,7
6,3,6,3,-0.08717857329700314,17.714285714285715,6,30,0.3387096774193548,31.970260223048324,6
5,3,5,3,-0.5847190439951154,9.125,5,18,0.547945205479452,24.721189591078065,5
13,6,13,6,0.19331043469325718,16.714285714285715,8,30,0.7777777777777777,68.21561338289963,13
11,5,11,5,0.17836187447349652,10.571428571428571,5,19,1.0405405405405406,61.152416356877325,11
5,3,5,3,-0.03665136348535709,11.714285714285714,5,24,0.426829268292683,24.721189591078065,5
3,0,3,0,-0.6962535775745607,4.875,1,9,0.6153846153846154,14.684014869888475,3
3,2,3,2,-0.6763204266637933,6.125,3,12,0.4897959183673469,14.684014869888475,3
3,0,3,0,0.2171925566083699,4.875,1,9,0.6153846153846154,14.684014869888475,3
3,1,3,1,-0.686287002119177,5.8,1,17,0.5172413793103449,14.684014869888475,3
3,0,3,0,-0.6962535775745607,6.8,3,19,0.4411764705882353,14.684014869888475,3
11,9,11,9,-0.030893496663949752,14.0,9,24,0.7857142857142857,61.152416356877325,11
14,5,14,5,-0.0016908032996106742,11.5,4,18,1.2173913043478262,72.4907063197026,14
2,1,2,1,0.6430647955485718,13.166666666666666,2,27,0.1518987341772152,9.107806691449815,2
7,6,7,6,-0.08170759576584287,9.375,5,20,0.7466666666666667,39.405204460966544,7
2,2,2,2,-0.7171378302704404,6.625,1,30,0.3018867924528302,9.107806691449815,2
3,1,3,1,-0.686287002119177,5.8,1,17,0.5172413793103449,14.684014869888475,3
10,4,10,4,-0.09663161025161719,14.0,9,24,0.7142857142857143,57.249070631970255,10
8,6,8,6,-0.08982480649042417,5.8,1,17,1.3793103448275863,46.28252788104089,8
17,8,17,8,-0.04507732343843202,9.666666666666666,1,18,1.7586206896551726,80.85501858736059,17
3,1,3,1,0.22715913206375357,5.666666666666667,1,11,0.5294117647058824,14.684014869888475,3
30,14,30,14,0.9107268298534544,17.285714285714285,5,30,1.7355371900826446,96.6542750929368,30
6,3,6,3,-0.08717857329700314,2.8181818181818183,0,6,2.129032258064516,31.970260223048324,6
2,1,2,1,-0.7271044057258241,10.0,2,16,0.2,9.107806691449815,2
3,0,3,0,-0.6962535775745607,8.4,1,18,0.35714285714285715,14.684014869888475,3
30,38,30,38,0.7845461871094908,6.625,1,30,4.528301886792453,96.6542750929368,30
11,3,11,3,-0.33981462235523296,10.571428571428571,5,19,1.0405405405405406,61.152416356877325,11
7,5,7,5,-0.48315108587105393,9.375,5,20,0.7466666666666667,39.405204460966544,7
13,3,13,3,0.7957964935306735,9.125,5,18,1.4246575342465753,68.21561338289963,13
4,3,4,3,-0.6255364476017625,2.8181818181818183,0,6,1.4193548387096773,19.702602230483272,4
8,5,8,5,-0.44233368226440684,10.571428571428571,5,19,0.7567567567567568,46.28252788104089,8
1,0,1,0,-0.7778883847878548,5.666666666666667,1,11,0.1764705882352941,4.83271375464684,1
4,2,4,2,0.04958157758005175,15.285714285714286,4,30,0.2616822429906542,19.702602230483272,4
7,5,7,5,-0.48315108587105393,6.285714285714286,5,9,1.1136363636363638,39.405204460966544,7
9,5,9,5,0.20744781079752725,14.0,9,24,0.6428571428571429,52.41635687732342,9
4,2,4,2,0.04958157758005175,13.166666666666666,2,27,0.3037974683544304,19.702602230483272,4
30,16,30,16,0.6566261405093426,22.0,6,30,1.3636363636363635,96.6542750929368,30
8,2,8,2,-0.4722334086305579,17.285714285714285,5,30,0.4628099173553719,46.28252788104089,8
9,6,9,6,-0.39154970320237603,6.285714285714286,5,9,1.4318181818181819,52.41635687732342,9
13,7,13,7,-0.21831351332040402,9.666666666666666,1,18,1.3448275862068966,68.21561338289963,13
1,1,1,1,-0.7679218093324711,13.571428571428571,1,28,0.0736842105263158,4.83271375464684,1
7,6,7,6,-0.4731845104156702,4.875,1,9,1.435897435897436,39.405204460966544,7
1,1,1,1,-0.7679218093324711,4.875,1,9,0.20512820512820512,4.83271375464684,1
2,1,2,1,0.6430647955485718,6.625,1,30,0.3018867924528302,9.107806691449815,2
14,4,14,4,0.18408107856991932,16.666666666666668,6,30,0.84,72.4907063197026,14
17,8,17,8,0.5997081830436367,11.0,5,17,1.5454545454545454,80.85501858736059,17
6,2,6,2,-0.09714514875238683,6.285714285714286,5,9,0.9545454545454546,31.970260223048324,6
5,4,5,4,-0.5747524685397318,6.125,3,12,0.8163265306122449,24.721189591078065,5
10,5,10,5,0.18736880545864568,5.666666666666667,1,11,1.7647058823529411,57.249070631970255,10
13,5,13,5,-0.23824666423117144,9.666666666666666,3,17,1.3448275862068966,68.21561338289963,13
7,0,7,0,-0.5329839631479724,13.571428571428571,1,28,0.5157894736842106,39.405204460966544,7
7,3,7,3,-0.5030842367818212,12.166666666666666,4,27,0.5753424657534247,39.405204460966544,7
9,5,9,5,-0.40151627865775974,11.5,4,18,0.782608695652174,52.41635687732342,9
15,5,15,5,0.20876659665529493,12.166666666666666,4,27,1.2328767123287672,75.65055762081785,15
9,7,9,7,-0.3815831277469923,4.875,1,9,1.8461538461538463,52.41635687732342,9
7,0,7,0,-0.14150704849814502,5.666666666666667,1,11,1.2352941176470587,39.405204460966544,7
15,10,15,10,-0.10677897974095883,9.666666666666666,3,17,1.5517241379310345,75.65055762081785,15
2,1,2,1,-0.7271044057258241,9.8,2,23,0.2040816326530612,9.107806691449815,2
18,7,18,7,0.2902555494404749,9.666666666666666,1,18,1.8620689655172415,83.08550185873605,18
13,7,13,7,0.20327701014864089,11.714285714285714,5,24,1.1097560975609757,68.21561338289963,13
13,6,13,6,-0.017484827041265288,12.5,6,19,1.04,68.21561338289963,13
29,15,29,15,0.9869696863995001,17.714285714285715,6,30,1.6370967741935483,92.56505576208178,29
21,14,21,14,0.17799174372045845,13.166666666666666,2,27,1.5949367088607596,87.73234200743495,21
30,17,30,17,0.9406265562196054,16.666666666666668,6,30,1.7999999999999998,96.6542750929368,30
10,3,10,3,0.16743565454787832,15.285714285714286,4,30,0.6542056074766355,57.249070631970255,10
16,9,16,9,0.09534299856960406,14.0,9,24,1.1428571428571428,78.62453531598513,16
27,10,27,10,0.6875119082664497,13.166666666666666,2,27,2.0506329113924053,90.89219330855019,27
16,6,16,6,0.23671442236275245,15.166666666666666,8,30,1.054945054945055,78.62453531598513,16
8,2,8,2,-0.4722334086305579,12.166666666666666,4,27,0.6575342465753425,46.28252788104089,8
14,4,14,4,0.3798195358948329,12.8,6,23,1.09375,72.4907063197026,14
18,8,18,8,0.45246314725968034,8.4,1,18,2.142857142857143,83.08550185873605,18
15,8,15,8,-0.12671213065172623,25.0,15,30,0.6,75.65055762081785,15
14,8,14,8,-0.16752953425837327,16.8,2,30,0.8333333333333333,72.4907063197026,14
19,10,19,10,0.3449473086381339,12.5,6,19,1.52,84.94423791821562,19
24,11,24,11,0.7272672952657139,11.714285714285714,5,24,2.048780487804878,89.77695167286245,24
8,4,8,4,0.5753266432360064,15.166666666666666,8,30,0.5274725274725275,46.28252788104089,8
14,5,14,5,0.3897861113502166,17.714285714285715,6,30,0.7903225806451613,72.4907063197026,14
13,6,13,6,-0.017484827041265288,13.166666666666666,2,27,0.9873417721518988,68.21561338289963,13
7,4,7,4,-0.49311766132643764,5.8,1,17,1.206896551724138,39.405204460966544,7
13,8,13,8,-0.20834693786502034,13.428571428571429,1,30,0.9680851063829787,68.21561338289963,13
15,6,15,6,0.03604394527409251,11.5,4,18,1.3043478260869565,75.65055762081785,15
23,13,23,13,0.36880512341527294,15.2,3,25,1.5131578947368423,88.84758364312268,23
20,6,20,6,0.46849249685306055,15.285714285714286,4,30,1.308411214953271,86.43122676579925,20
7,5,7,5,-0.48315108587105393,4.875,1,9,1.435897435897436,39.405204460966544,7
8,3,8,3,-0.11972453285657525,16.714285714285715,8,30,0.4786324786324786,46.28252788104089,8
6,1,6,1,-0.10711172420777053,6.125,3,12,0.9795918367346939,31.970260223048324,6
10,3,10,3,0.7155033350576367,17.714285714285715,6,30,0.564516129032258,57.249070631970255,10
8,5,8,5,-0.09979138194580787,9.375,5,20,0.8533333333333334,46.28252788104089,8
15,4,15,4,0.5641784748730835,10.0,2,16,1.5,75.65055762081785,15
8,2,8,2,0.555393492325239,12.8,6,23,0.625,46.28252788104089,8
6,0,6,0,0.3396447674283111,11.428571428571429,1,28,0.525,31.970260223048324,6
6,1,6,1,-0.10711172420777053,12.8,6,23,0.46875,31.970260223048324,6
4,2,4,2,0.04958157758005175,6.8,3,19,0.5882352941176471,19.702602230483272,4
5,1,5,1,1.039550846623392,15.2,3,25,0.32894736842105265,24.721189591078065,5
14,4,14,4,0.5755579932197467,7.6,0,14,1.842105263157895,72.4907063197026,14
9,5,9,5,-0.40151627865775974,17.285714285714285,5,30,0.5206611570247934,52.41635687732342,9
13,8,13,8,0.0024483238695020997,12.8,6,23,1.015625,68.21561338289963,13
12,9,12,9,-0.23919776601628373,12.166666666666666,4,27,0.9863013698630138,64.12639405204462,12
13,3,13,3,-0.04738455340741637,10.6,5,18,1.2264150943396226,68.21561338289963,13
6,1,6,1,-0.10711172420777053,14.0,6,30,0.42857142857142855,31.970260223048324,6
7,2,7,2,-0.12157389758737765,14.0,6,30,0.5,39.405204460966544,7
7,0,7,0,0.2499698661516824,10.571428571428571,5,19,0.6621621621621622,39.405204460966544,7
16,10,16,10,0.6191230245028863,12.5,6,19,1.28,78.62453531598513,16
15,10,15,10,0.2585994739322134,14.0,6,30,1.0714285714285714,75.65055762081785,15
9,5,9,5,-0.09703423393011625,11.5,4,18,0.782608695652174,52.41635687732342,9
6,4,6,4,-0.07721199784161945,22.0,6,30,0.2727272727272727,31.970260223048324,6
20,8,20,8,0.48842564776382796,14.0,6,30,1.4285714285714286,86.43122676579925,20
15,7,15,7,0.4113889744026485,9.375,5,20,1.6,75.65055762081785,15
3,0,3,0,1.1306386907913002,6.125,3,12,0.4897959183673469,14.684014869888475,3
14,4,14,4,-0.20739583607990805,12.5,8,18,1.12,72.4907063197026,14
8,5,8,5,-0.44233368226440684,12.5,8,18,0.64,46.28252788104089,8
7,2,7,2,-0.513050812237205,11.428571428571429,1,28,0.6124999999999999,39.405204460966544,7
11,6,11,6,-0.3099148959890819,12.5,8,18,0.88,61.152416356877325,11
17,6,17,6,-0.06501047434919942,15.166666666666666,8,30,1.120879120879121,80.85501858736059,17
12,7,12,7,0.19759215016441414,7.166666666666667,5,12,1.6744186046511627,64.12639405204462,12
10,5,10,5,-0.0866650347962335,11.714285714285714,5,24,0.853658536585366,57.249070631970255,10
8,1,8,1,0.20288461655125642,9.8,2,23,0.8163265306122448,46.28252788104089,8
9,5,9,5,-0.09703423393011625,15.166666666666666,8,30,0.5934065934065934,52.41635687732342,9
5,3,5,3,-0.03665136348535709,17.285714285714285,5,30,0.2892561983471075,24.721189591078065,5
11,5,11,5,0.4274835474324776,9.8,2,23,1.1224489795918366,61.152416356877325,11
17,11,17,11,0.3072151561687534,11.428571428571429,1,28,1.4875,80.85501858736059,17
6,2,6,2,-0.553868215843852,7.166666666666667,5,12,0.8372093023255813,31.970260223048324,6
9,4,9,4,-0.41148285411314345,11.714285714285714,5,24,0.7682926829268293,52.41635687732342,9
11,4,11,4,0.16839529901811287,11.714285714285714,5,24,0.9390243902439025,61.152416356877325,11
10,3,10,3,0.16743565454787832,11.714285714285714,5,24,0.853658536585366,57.249070631970255,10
9,3,9,3,0.18751465988675986,13.428571428571429,1,30,0.6702127659574468,52.41635687732342,9
16,9,16,9,-0.07592815158969543,11.0,5,17,1.4545454545454546,78.62453531598513,16
11,5,11,5,0.17836187447349652,5.666666666666667,1,11,1.9411764705882353,61.152416356877325,11
6,2,6,2,-0.09714514875238683,9.375,5,20,0.64,31.970260223048324,6
9,6,9,6,0.21741438625291096,10.6,5,18,0.8490566037735849,52.41635687732342,9
3,2,3,2,0.23712570751913722,6.8,3,19,0.4411764705882353,14.684014869888475,3
